date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-15 00:00:00,21.4960196804251,29.9133804967174,36.8885658686659,0,2,Winter,25.8,4.65,99.9
2023-02-15 01:00:00,18.5078326262925,28.2798142671688,35.3958508357269,1,2,Winter,23.9,4.07,99.9
2023-02-15 02:00:00,15.3493703669013,27.1261347771549,32.8018236609784,2,2,Winter,21.4,3.51,99.9
2023-02-15 03:00:00,12.9279606055367,25.9905199275483,30.3320368088372,3,2,Winter,20.5,3.01,99.9
2023-02-15 04:00:00,11.3518573044165,25.2272955042819,29.9536017907236,4,2,Winter,19.6,2.81,99.9
2023-02-15 05:00:00,9.45583777077204,24.4198886665597,27.3877690433709,5,2,Winter,17.6,2.26,99.9
2023-02-15 06:00:00,10.3774766315872,25.6892230652728,29.2870248217208,6,2,Winter,18.3,1.69,99.9
2023-02-15 07:00:00,14.3124016115335,27.514383065893,33.4662942992536,7,2,Winter,21.3,1.59,99.9
2023-02-15 08:00:00,31.1675336155132,36.4126703990543,43.64549876625,8,2,Winter,30.8,1.69,99.9
2023-02-15 09:00:00,38.1009827591879,39.4936694172488,48.4693717275251,9,2,Winter,37.9,3.16,99.9
2023-02-15 10:00:00,28.5047608732863,33.7936632589283,40.1241517936011,10,2,Winter,31.4,5.12,99.9
2023-02-15 11:00:00,12.4939771101517,18.0383769022739,22.142070376798,11,2,Winter,18.0,14.05,84.93
2023-02-15 12:00:00,19.3784185208036,18.1506835749063,24.5542436503889,12,2,Winter,17.7,24.53,54.23
2023-02-15 13:00:00,22.5128263895902,21.0221352325655,28.1313479933,13,2,Winter,21.7,25.59,52.25
2023-02-15 14:00:00,23.4288561630122,22.4338077350127,30.5702393605434,14,2,Winter,20.7,23.06,57.04
2023-02-15 15:00:00,21.7923014132887,22.6466208837532,30.636319141661,15,2,Winter,21.1,16.74,70.71
2023-02-15 16:00:00,15.360765581072,19.5769131630059,26.4685849850398,16,2,Winter,17.8,15.09,73.45
2023-02-15 17:00:00,15.2797196157677,20.0258824997201,28.3376296272249,17,2,Winter,18.6,13.5,81.16
2023-02-15 18:00:00,17.3084845047539,22.472326907396,30.2361971490099,18,2,Winter,19.2,11.98,91.35
2023-02-15 19:00:00,26.1332655234734,30.3690406165,37.4406699074817,19,2,Winter,25.9,10.36,98.85
2023-02-15 20:00:00,31.1575738985715,32.9436370021119,40.5853636837917,20,2,Winter,29.6,9.37,99.9
